APLICACIONES DEL ADVERBIO
Bien                                     Allin
Muy                                     Jupa
Demasiado                         Ancha
Horriblemente                   Manchaymanchay
Camina bien                       Allinta puriy
Muy mejorado                  Jupa thanirisqa
Demasiado lejos               Ancha karu
Horriblemente malo        Manchaymanchay sajra

ADVERBIOS DE LUGAR 
Aquí                                                    Kaypi
Ahí                                                      Chaypi
Allí                                                      Jaqaypi
Acá                                                     Kayman
Allá|                                                     Chayman
Acullá                                                 Jaqayman
Carca                                                  Kaylla
Lejos                                                   Karu
Donde                                                Maypi
Adonde                                              Mayman, mayta
Enfrente                                            Chimpapi
Al frente                                            Chimpaman, chimpata
De donde                                           Maymanta
Hasta donde                                      Maykama
Hacia donde                                      Maynijman
Por donde                                          Mayranajta, maynejta 
Por el frente                                      Chimpanijta
Dentro                                                Ukhupi
Adentro                                              Ukhuman, ukhuta
Hasta dentro                                     Ukhukama
Hacia dentro                                     Ukhunijman
Fuera                                                  Jawapi
Afuera                                                Jawata, jawaman
Hasta afuera                                     Jawakama
Hacia afuera                                     Jawakaman
Arriba, encima                                 Patapi
Arriba                                                Pataman, patata
Hasta arriba                                     Patakaman
Hacia arriba                                     Patanijman
Abajo                                                Urapi
Abajo                                                Uraman, urata
Hasta abajo                                     Urakaman
Hacia abajo                                      Uranijman
Delante                                             Ñaupajpi
Detrás                                                Qipapi
Arriba                                                Jánaj
Debajo                                               Ura 
Junto                                                  Tanta,  kuska
Aquende                                           Kaynijpi
Por allí                                               Chaynijpi
Allende                                              Jaqaynijpi

ADVERBIOS DE MODO
Bien,                                                                              allin
Mal, (no bien)                                                              mana allin
Asi, (se puede posponer al verbo),                          jina
Como,                                                                           imayna
Apenas,                                                                        ñak´ayata
Quedo,                                                                         allinmanta
Recio duro,                                                                 sinch´i
En vano, vanamente,                                                qasilla, qasimanta, qasillamanta
De veras, ciertamente,                                            chiqanmanta, sulluymanta
Muy verdaderamente,                                             chiqapuni, sulluypuni
En balde, sin motivo,                                                yanqa, yanqalla, yanqallamanta
Asi también,                                                               jinataj, jinatajmin
De la misma manera,                                               jinallatajmin, kikillammantataj
Por poco,                                                                    ashllamanta

ADVERBIOS DE TIEMPO
Hoy, ahora,                                                               kunan.
Hoay dia,                                                                   kunan p´unchay.
Ayer,                                                                           qayna.
Anteayer,                                                                   qanin p´unchay.
Mañana,                                                                     qaya.
Antes,                                                                          unay.
Después,                                                                      chanta.
Tarde,                                                                           sukha, ch´isi.
Temprano,                                                                   paqari.
Presto,                                                                          thuylla.
Siempre,                                                                       wiñay, winaypaj.
Nunca, jamas,                                                              mana jayk´aj.
Ya,                                                                                 ña.
Mientras,                                                                     kama.
Aun, todavía no,                                                         manaraj, amaraj
No ha mucho,                                                             ñaqha.
Poco rato ha,                                                              ñaqhalla.
En este instante,                                                        kunallan.
De aquí en adelante,                                                 kunanmanta.
Entonces,                                                                    chaypacha, chaypahapi.
Cuando, en que tiempo,                                            jayk´aj.
Hasta cuando,                                                              jayk´ajkama.
De cuando aca,                                                            jayk´ajmanta.
Pasado mañana,                                                          minchha.
Un dia de estos.                                                           Q´ayaminchha.
Al dia siguiente,                                                           q´ayantin.
Tiempo ha,                                                                    qaninpa
Antiguamente,                                                             mayk´ajpachapi.

ADVERBIOS DE CANTIDAD
Mucho,                                                                          ashka.
Poco,                                                                              as, aslla, tunpa.
Muy,                                                                              ancha.
Casi,                                                                              ñak´a, ñak´aylla.
Harto, mucho,                                                            yupa.
Bastante,                                                                     chaykama, chaykamalla.
Tanto,                                                                           chhika.
Nada,                                                                            manayma, manama.

ADVERBIOS DE COMPARACION
Mas,                                                                             aswan, astawan.
Menos, mas poco,                                                     aswan pisita.

ADVERBIOS DE AFIRMACION
Si,                                                                                 ari.
Cierto, verdad,                                                           chiqan.
Ciertamente,                                                              sullullmanta.
Asi también,                                                               jina, jinataj

ADVERBIOS DE NEGACION
No,                                                                               ama… (prohibición)
No,                                                                               mana… (simple negación)
Nunca,                                                                         mana jayk´aj.
Absolutamente no,                                                  manapuni.
Ojala nunca,                                                              amapuni.
Todavía no,                                                                manaraj.
Todavía no, (aguarada),                                           amaraj.
Aguarda un poco,                                                      amallaraj.
Dice que no,                                                               manas.
No es asi,                                                                     mana jinachu.
Dice que no es asi,                                                     manas jinachu.
Tampoco,                                                                    manataj.

ADVERBIOS DE ORDEN 
Primeramente,                                                           ñaupajta, ñaupajmanta.
Finalmente,                                                                 tukukuyninpi.

ADVERBIOS DE DUDA
Acaso,                                                                           inchas.
Talvez, quizá,                                                               ichachu.
Quizás ya,                                                                     ichasña.
Quizás también,                                                          ichataj.
Quizá ya también,                                                       ichañataj.
Rociar, asperjar,                                                          ch´allay, ch´ajchuy.
Asesinar,                                                                       ch´allpay.
Enrostrar, aucusar,                                                      ch´atay.
Mojar, empapar,                                                          ch´aranchay.
