Achhalana                                 Adorno
Allinchasqa                                Arreglado
Chakachiy                                   Atorar
Chhalay                                       Efectuar
Chhuka                                        Angulo
Ch´unqay                                    Chupar
Ch´irway                                      Exprimir
Ichhu                                            Paja
Ismuisqa                                   Podrido
Jayt´ay                                       Patada
Jucha                                         Pecado
Kinwa                                        Quinua
Kunallan                                   Recién
Khuchuy                                   Cortar
Khuyapayay                             Auxilio.
K´acha                                       Bonito
Liwch´i                                    Devil
Layqay                                    Hechisar
Llamp´u                                  Blando
Lluch´a                                    Encia 
Machasqa                              Borracho
Much´ay                                 Besar
Nanachiy                                Lastimar
Niy                                           Decir
Ñan                                          camino
Pukara                                     Castillo
Pisilla                                       Barato
Phaqcha                                  Cascada
Phaway                                   Bolar 
P´ampay                                 Enterrar
P´akisqa                                 Quebrado
Qallariy                                  Comenzar
Qhawallay                            Contemplar
Qhawaray                             Criticar 
Q´ipiray                                 Descargar
Q´iwa                                    Cobarde
Raymichay                           Celebrar
Ranqhana                               Comercio
Rumpiy                                   Correr
Saywa                                     Columna
Saqra                                      Cruel
Tupasqa                                 Chocado
Tarpay                                    Conseguir
Thuqru                                   Baston
T´ula                                       Arbusto
Uywana                                 Criar
Wisq´asqa                            Cerrado
Wiqara                                 Cintura
Yachachiy                            Enseñar
Yupanay                              Número
Kichay                                  Abrir
T´uqu                                   Ventana
Jusk´u                                  Agujero 
T´uqu pakana                    Crtina
Qillqa                                 Boliografo
Tinta qillqana                    Marcador
Ñawch´ina                          Tajador
K´utuna                               Tijera
Saywasiqi                            Mapa
Pachawatana                      Calendario
Qillqa pichana                    Almohadilla
Jaych´ana                            Armario
Punku                                   Puerta
Jamp´ara                              Mesa
Tiyana                                  Silla
Warqhuna                          Colgador
Wayaqa                                   Bolson, mochila
Llimp´ikuna                             Colores
Khituna                                    Borrador
K´urkuchina                            Pegamento
Intiwatana                              Reloj
Papawki                                   Pelota
Pampachaway                        Perdóname
Takiy                                        Cantar
Tusuy                                       Bailar
Pukllay                                     Jugar
Qillqay                                     Escribir
Ñawiriy                                    leer
Siq´iy                                        Rayar
T´aqsay                                    lavar ropa
Chukuy                                     Sentarse
Mayllay                                     Lavar cara, platos
Qhaway                                    Mirar
Pichay                                      Barrer
Puriy                                         Caminar
Puñuy                                      Dormir
Rikch´ariy                                Despertar
Jatarikuy                                 levantarse
Siriy                                         Acostarse, echarse
Mikhuy                                   Comer 
Upyay                                      Tomar, beber
Unquy                                    Enfermar
Munay                                    Querer, deseo
Munakuy                               Querer para mi
Maqay                                    Pegar
Qhapariy                                  Gritar
Waqay                                      Llorar
Llullakuy                                   Mentir
Yanapay                                   Ayudar
Rantiy                                       Comprar
Ranqhay                                   Vender
Saqray                                       peinar
Uyariy                                       Escuchar, oir
Parlar                                       Hablar
Asiy                                           Reir
Jayt´ay                                      Patear
Laq´y                                        Abofetear
Urmay                                     Caer
Laqhakuy                                Caer con estilo
Apamuy                                  Traer
Apay                                        Llevar
Wayk´uy                                 Cocinar
 Carne                                             Aycha
Cebada                                           Siwada
Haba                                                Jawas
Choclo                                            Chuqllu
Leche                                              Iñi 
Harina                                             Jak´u
Huevo                                              Runtu
Maiz                                                 Sara
Miel                                                 Misk´i
Papa                                                Papa
Sal                                                   Kachi
Aji                                                    Uchu
Camote                                           Apichu
Api                                                   Api
Pan                                                 T´anta
Cebolla                                          Siwilla
Higado                                          K´iwcha
Papaya                                         Papaya
Pez                                                Challwa
Arroz                                            Arusa
Trigo                                            Riwu
Perejil                                          Pirijil
Aceite                                          Wira
Azucar                                          Misk´ichay
Lenteja                                               Lintija
Arveja                                                 Arwija
Avena                                                 Awina
Agua                                                   Yaku

PALABRAS HOMONIMAS
Chaka                    Puente                      Chhaka                Hormiga
Chaki                     Pie                              ch´aki                   Secco
Chama                   Jubilo abuelo           chhama                Aspero
Chichi                    Carne                         Ch´ichi                  Sucio                          Chhichiy                Susuray
Chiri                       Frio                             Ch´iri                cabello ondulado
Chumpi                Faja                              Ch´umpi              Café
Chuwa                  Plato                           Ch´uwa                 Ordenar
Ch´alla                  Brindar                       Chhalla                  Liviano
Ch´ulla                  Impar                         Chhulla                   Rocio
Jaku                      Vamos                        Jak´u                       Harina
Kachaq                  Mensajero                K´acha                    Bueno                     Khacha                Mugre
Kancha                  Corral                         K´anchay                Alumbrar
Kani                       Soy                              Khaniy                    Morder 
Kanka                   Parrilla                         K´anka                   Gallo
Kiru                       Diente                         K´iruy                     torcer lana
Kuyuy                   Mover                         K´uyuy                  Embolver                   Khuyuy               Silvar
K´uchi                  Acendosa                    Khuchi                  cerdo, chancho, puerco
K´uchu               Rincón                           Khuchuy                Cortar
Laq´a                  Soso                               Laqha                    Oscuro
Llamk´ay            Trabajar                        Llamkhay               Empapar
Lluki                    Puñal                             Lluk´i                      Axila
Mat´i                  Aprieto                          Mathi                    Recipiente de calabaza
Ñakay                    Maldecir                       Ñak´ay                  Apenas
Pacha                    Tierra                             P´acha                  Ropa
Pampa                   Suelo                             P´ampay              Enterrar
Pata                       Arriba                           P´atay                    Morder                 Phatay         Rebentar
Pitay                       Fumar                          P´itay                     Tejer
P´uru                      Cantaro                        Phuru                    Pluma
Qallu                      Lengua                          Q´alluy                   Cortar en rebanadas
