PRONOMBRES DEMOSTRATIVOS
Kay                                                 este, esta, esto
Kaypi                                              En aqui
Chay                                              Eso, ese, esa
Chaypi                                          En alli
Jaqay                                             Aquel, aquello, aquella
Jaqaypi                                         En alla

PRONOMBRES DE PERSONA
Yo                                                           Ñuqa
Tu                                                           Qam
Él/ella                                                     Pay
Nosotros                                                Ñuqayku
Nosotros                                                Ñuqanchik
Ustedes                                                  Qamkuna
Ellos/ellas                                              Paykuna
