LOS COLORES    LLUMP´IKUNA
Amarillo                                                   q´illu
Anaranjado                                             Willapi
Azul                                                          Anqas
Azul claro                                               Sut´iqanqas
Blanco                                                     Yuraq
Celeste                                                    Yuraqnqas, Qhusi
Morado                                                  kulli, Mullu
Plomo                                                     Uqi
Negro                                                     Yana
Rojo                                                        Puka
Rosado                                                  Panty, llamkha
Verde                                                     Q´umir
Café                                                        Ch´umpi
Descolorido                                          T´uqra
